Name,Qty,Price
ORTHOHERB TABLET,1,421
ORTHOHERB OIL,1,108
PARA 500MG TAB,3,218
CILACAR TC 12.5 TAB,1,211
NS <250>ML,5,251
DDR 60 CAP,2,122
CREVAST 40 TAB,2,361
OROFER S 200 INJECTION,3,366
CIDMUS 50MG TAB,6,12
CHITOMESH-SF CREAM 5GM,1,330
ASCORIL FLU SYP 60 ML,1,343
IGNICAR TAB,1,182
ROSTAHIP-C CAPSULE,1,366
SYMBICORT160/4.5 TURBOHALER,1,143
ORAL-B CRISS CROSS TB,8,402
SULFORYL M2 TAB,6,293
GRILINCTUS-LS100MLSYP,1,181
TELMIDUCE 20 TAB,8,497
AQUIM PF EYE DROPS,2,456
MCLAZIDE MR 60MG TAB,5,296
TENLIGRESS-20,3,62
EUTHYROX 50 MCG,1,371
ZITRAN-100MG,1,417
CILAMET XL 10/25,4,276
ROSAVE GOLD 10MG,1,413
MOX CV 625,2,488
MAXGALIN *M ER* 75MG TAB,2,382
SYNERTAB TAB,3,87
HAPPI -40 MG,1,63
GEMS POUCH,288,233
GLUCORYL MV 1/0.3 TAB,3,257
ORYZA CREAM 50GM,1,451
MOVEXX SP TAB,11,467
STORVAS CV 10 CAPSULES,1,315
NOVASTATGOLD -20,3,475
RESPICURE SYP,2,239
CLIN-3 FACE WASH,1,213
DIPROBATE-G PLUS ,2,329
DIPROBATE-RD ,2,276
WELLMAN HAIRFOLLIC CAP,4,189
CITRAVITE XT TAB,2,179
COOLORA MOUTH WASH,1,434
TUSPEL LS 1 SYUP,7,159
MOMATE XL CREAM,1,338
ZOCON SOAP 100GMS,3,103
JUSDEE 400 DROPS,1,99
CTD M 6.25/25MG,2,123
D3 HD ,7,58
BUVALOR 10 ,1,486
KETOSTAR CREAM,1,61
HENZOVIT CAP,3,202
AMORTAS CREAM,1,64
YAMOO DROP ,2,266
MOVICOL LIQ,1,149
SIMILAC 1 REFIL,5,428
FUNZI-L LOTION 30ML,2,262
PODOWART 10ML PAINT,1,377
VATIKA ENRIC.COCO.H/OIL 75ML,4,358
VATIKA ENRIC.COCO.H/OIL 150ML,1,99
EAU DE COL*PRINCE* 100ML,1,396
BP MONITOR [KARMA ),2,325
AMLA RAS (SWADE) *500ML*,1,19
IVAONE 5 TAB,2,106
PALSINURON  30 CAP,3,59
EBERFINE-M,1,292
NOSTRA CR 10 TAB,4,93
EXAMINATION DISPOS PLASTIC GLOVES,119,29
MONTAS L TAB,4,500
GLADOR M1 FORTE TAB,7,99
ATORSAVE CV (10+75MG) STRIP OF 10 CAPSULES,1,134
TENEPURE-M 500 TAB,2,323
INTAGESIC SPRAY,3,294
XYKAA BD TABS,1,404
TIGATEL 20MG TAB,2,235
AVAS CV 10MG TAB,2,432
MULTANI MATI 50 GM,4,193
DR.ORTHO PAIN RELIFE BALM,4,168
OLEO RHEUMA OIL ,8,444
CORALIUM-D3 SUSP,1,110
DR.ORTHO OIL 100ML,6,84
CETAPHIL GENTLE SKIN CLNR 125ML,6,48
CANDID CREAM50G,2,217
DR.ORTHO OIL 60ML,3,226
JUPIROS GOLD 20 TAB,1,428
CUTICAPIL HAIR SERUM,1,391
PROVANOL PLUS 10 MG TAB,1,29
CUTISHINE FACE WASH 70GM,2,462
EBSPOR CREAM 30 GM,1,101
ULTRA MAGNESIUM 200MG TAB,4,488
BTR-D TAB ,1,295
MUMFER MAX TAB,1,280
ALOEVERA RAS (NUKIND),3,278
SARTEL BETA 25 TAB,1,359
ESURANCE TAB,1,156
CORCIUM HD TAB,2,209
VALENT 40 TAB,3,61
AMNURING 10 TAB,1,317
AMNURING 5 TAB ,3,291
TIDE PLUS 20MG TAB,3,77
FUNZI-IT 200MG TAB,1,333
CALCIMAX P TAB,1,430
DECA-DURABOLIN 100 MG INJ.,2,382
ELOCON CREAM ,1,31
EVERYUTH EXFOLIATING/WAL SCR,1,217
LULICAN XL CREAM,1,30
PEROBAR 2.5% SOAP,2,168
ISTAMET XR CP TAB,1,21
VYMADA 50 MG TAB,4,349
DOXYLAB CAP,3,425
SUGANRIL 20MG TAB,1,382
FUNZI-IT 100MG TAB,1,308
FUNZI-MX POW,2,178
FLUVIR TAB,4,394
CALCIMAX D 1000 30TAB,1,97
WELMINIC P SYRUP,1,445
VITANOVA-D3 SACHET,6,156
ZINCOVIT CL SYP,2,166
TENLIP-20 TAB,2,87
PREPRO CAP,3,420
NATVIE-400 TAB,1,252
MEGA FLEXON TAB,1,125
D.F.O RED GEL SMALL,1,165
D.F.O RED GEL BIG,3,481
SOLVIN COLD AF SYP 60ML,1,86
MOXISURGE EYE DROP,2,467
UV DUOX SUNSCREEN GEL 50 SPF,1,301
FARONEM-ER TAB,1,45
RENOCIA TAB,1,500
EXTEND HAIR TAB,3,77
UNIENZYME PRO TAB,1,469
LACRYL PF EYE GEL,1,38
VOMILAST OD TAB,1,444
EMBETA XR-12.5 TABLET,4,64
MEGANEURON NT 50 MG TAB STRIP OF 10 TAB,3,183
KAASWIN SYP,1,99
SHELCAL-ISO CAP,2,223
KLM-FX 180 TAB,1,339
GLIMULIN MV 2MG TAB,2,193
COR-3D TAB,1,399
REXCOF DX SYP,16,76
GLUCOCART FORTE TAB,5,333
TENAMIT M 20/500,8,500
FIAMA SHOWER GEL PURE,1,15
GOODKNIGHT COMBI ADVANCE REFIL,22,300
EPILYNO LOTION ,1,89
ANABOOM AD SHAMPOO,1,105
KLMC-1000 TAB,2,420
LEVOLIN PLUS SYRUP,2,296
MACBERY DX SYP,1,325
ESCNX 5 TAB,1,316
FORECOX TAB,5,11
FOLCURE 5MG TAB,3,92
LEVIGRESS 750MG TAB,1,218
NEPATOP FREE EYE DROP,2,18
D-ACNE SOFT FOAM FACE WASH 100GM,1,126
TELMIDUCE 40 MG TABLET STRIP OF 10 TABLET,24,108
OLOPAT MAX EYE DROP,1,64
EPISERT CREAM 30G,1,375
TERBINAFORCE 500MG TABLET STRIP OF 7 TABLET,1,135
CALDIKIND-P SUSPENSION 200 ML MANGO FLAVOUR,2,101
ODOXIL DS SYP,2,277
HHSONE CREAM 30G,1,33
FITTYDENT CLEANSING TAB,17,401
NOOTROPIL 1200MG TAB,1,207
RAZEL A 75MG TAB,3,393
BISOHEART 2.5 MG TABLET STRIP OF 10 TABLET,9,35
OCDOX 100TAB,1,355
OXRA 5 TAB,8,57
MYO BD TAB,4,455
CUTIMEGA TAB,1,362
MORR  5% SOLUTION <60ML>,1,311
RAZEL CV 10/75 MG TAB,3,386
ECOVIN 500 TAB,2,498
REVITAL H WOMAN 10TAB,1,431
LEVOCET-M SYRUP 60ML,2,310
RESWAS LS SYRUP,3,43
MUCOLITE LS SYRUP,1,67
PROSTAGARD 8 CAP,3,137
DUPHALAC ENEMA SOLUTION,1,167
MET XL 3D-25TAB,1,352
PGVISC EYE DROP,1,322
LAMITOR DT 25,3,250
T3-LC CAPSULE,4,75
INDERAL LA 20 MG,4,276
GILLETTE VECTOR BLADE 6,2,264
CTD-T 12.5/80MG TAB,3,368
ALOMAX JUICE 500ML ,1,302
ROZUCOR ASP 20 TAB,2,86
BACSTOL 200MG TABLET,1,223
LEVIPIL INJ,2,359
FIBRONORM CAP,4,233
ZILARTA- CT 40 TAB,3,186
CALCIMAX D SYRUP,2,214
MET XL TRIO 50,4,40
WELLMAN 50+TAB,4,82
FRACLIFE TAB,2,378
ABZORB BAR,1,375
PROHANCE-D CHOC POWDER 400 GM,1,119
TIBAN M 20/1000,2,28
GABANTIP AT 100 TAB,1,432
DIGIHALER FB 400  INHALER,1,285
CLORNI GEL,1,83
CYBLEX MV 80.2 TAB,4,89
TELMA CT-40/6.25 TAB,17,90
CONCOR COR 2.5 TABLET ,24,441
DOMSTAL DT TABLET ,5,207
ADVENT DROPS ,1,298
ADVENT FORTE SYP 457 GM ,1,181
FLUCOLD DROP,1,234
CEFTIGEST-O (CEFIX+OFLOX),7,409
RABSIP-D(RABEPRAZ+DOMPR),3,266
BRIVEX EYE DROPS,2,427
AGROCIN 500MG INJ (AMIKACIN),8,50
GLIMISAVE MAX FORTE 3 TAB,2,389
ALZICEF 1GM INJ(CEFTRAXONE),2,149
CETAPHIL BABY SHAMPOO 200ML,2,84
CEFTICAT-S1.5GM INJ (CEFTRAX+SULBA),3,103
LACTIGENT SYRUP (LACTALOSE) 100ML,7,305
ROSUKAA-40 TAB,1,484
ROSLAREN-20 TAB,4,125
RELUX SYRUP 200,1,121
NAPROZYME SYRUP,3,128
BENGREAT 4 MG TABLET STRIP OF 10 TABLET,1,255
GLYCIPHAGE SR 850 MG,6,23
ZYTEE TUB,3,298
ERITEL CH 40 TRIO TAB,1,141
ERITEL CH 80 TRIO TAB,1,441
SIMILAC 3 REFIL,2,154
INZIT 8 TAB,3,456
TRIGLYNASE 2 FORTE TAB,5,130
CETAPHIL MOISTU.LOTION 250ML,3,104
COMBINORM CAP,1,282
INDERAL LA 40MG TAB,1,423
FORMONIDE 0.5 RESP,1,317
RICHGLOW GEL,2,174
AB PHYLINE N CAP,1,434
COFSIL COUGH DROPS,115,31
OROFER XT PLUS SYP 200ML,1,372
FOL 123 MF CAPSULES,1,74
HHFEXO-180 TAB,1,36
SEDEROM 30MG TAB,3,290
NUTRIRIGHT MOM COOKIES,1,332
CYRA 40MG TAB,5,226
SENSICLAV DS DRY SYP,1,22
TRIOLMESAR CH 40MG TAB,2,107
NEXOVAS 20MG TAB,2,222
ARSHA KALP CAP COMBOPACK,2,485
VOLINI SPRAY 100GM,1,381
GLOGEOUS F/W GEL 100G,1,295
CORBIS AM 2.5 TAB,2,416
H-PEG POWDER 100G,1,470
PENTAB-DSR TAB,1,54
NITYAM TAB 36 BIG,3,444
ZOCON KZ SHAMPOO,1,152
MELAPIK PLUS CREAM,1,461
DOLO-250 SUSP,6,188
BEIPOS EYE DROP,1,110
NATRILAM 2.5 TAB,8,353
NATRILAM 5 TAB,6,391
ZANDU KESARI JIVAN 450 G,2,464
RELAXYL PLUS TAB,1,476
TAPFREE ER-50 TAB,1,269
SILVEREX HEAL 15GM,1,184
TICAVIC-90,2,319
MONTINA L SYP,1,183
TAKFA FORTE ONIT10G,1,160
ZYDIP LOTION 100 ML,1,316
YOGI ALOVERA HERBAL SKIN GEL,5,282
LZHH CREAM,3,152
FLYING TIGER CUB BALM 10GM,27,270
FLYING TIGER CUB BALM 20GM,6,60
VITCOFOL-HB CAP,4,333
ROZALET 20TAB,2,34
NIL ANTI CRACK CREAM,11,418
TALOPREX 10 MG TAB,2,464
DILO-LS SYP,2,177
TRIVOGLITOR-FORTE 1 TAB,2,142
DUOFAZE TAB,1,436
JUPIPRO POW ,2,39
MINOZ ER 65MG TAB,2,149
CILACAR M 10/25 TAB,9,330
KIDICARE-D SYP,1,386
LAMETEC-50MG DT TAB,7,251
ROSVIN GOLD 10MG,2,139
ZEFU DRY SYP,2,264
VYSOV M 50/1000 TABLET,3,28
ENVAS 10,4,328
ROZAGOLD 20MG TAB,4,147
PIGMENTO TAB.BIG,1,379
MELAWASH FACE WASH 100ML,1,467
KETO CREAM BIG,1,372
OOSURE-M TAB,1,147
NUBETA 2.5,2,394
GATE P EYE DROP,1,137
CNZEP 0.25MG TAB,2,433
CINOD-T 20/40,10,243
POWERCORT S OINT,1,280
CILAMET XL 10/50 MG TAB,3,27
4-QUIN D EYE DROPS,1,76
XARELTO 15 MG TABLET,2,349
LOC TEARS FUSION,3,323
PREGABID MNT TAB,1,185
KETOCOOL SOAP,1,395
VITARESP FX- 180 TAB,1,37
GLYMED LOTION,3,28
VISSCO KNEE CAP HINGES (XXXL),1,226
VYMADA 100 MG TAB,8,189
POLYCLAV BID SYP 30ML,1,176
RYZODEG PENFILL 3ML,6,239
GARNIER ACNOFIGHT F/W 15GM,1,249
ACTAME-C FACE WASH-70 ML,2,263
BALARISHTAA 455ML,1,442
SENSODYNE-TOOTHBRUSHDAILY CARE,50,11
GLYCIPHAGE VG2 TAB ,2,86
BRAIN TAB50,1,252
KETOFLY SHAMPOO,1,362
ZOLE-IT 200TAB,1,38
TORVIGRESS-100 MG TAB,1,489
FEBUVEL 40 MG TAB,2,169
YAMINI 21 TAB,2,47
COVERSYL PLUS HD TABLET,6,143
ZOCON 100 DT TAB,2,368
VERTIGIL TAB,4,122
RAZEL CV 20/75 GM,2,461
OZOVAS 20MG TAB,3,86
R.B TONE KID SYP,2,405
D3 MUST FORTE  DROPS 15 ML,1,19
PERMITE CREM BIG,1,19
PROHANCE VANILA 200GM ,1,157
GLYCIPHAGE VG1,2,123
TECUM 0.1% OINTMENT,1,477
ROPARK XL 2 TAB,7,356
LULIFAZE CREAM,1,143
SERLIFT 25 TAB,1,311
NEPAWEL EYE DROP,1,388
ZANOCIN PLUS TAB,1,18
CLAVIX GOLD 20MG CAP,2,377
TOPINATE OIN ,1,375
TOPINATE SOLUTION,1,318
EYESURGE TAB,2,37
LIVOSIN SYP,1,96
JOSPAR 500MG TAB,1,107
ZEPTOL CR 300,4,157
LAREGAB NT TABS,2,355
FACE MASS,387,267
CIPLADINE SOL 100ML,3,292
EKRAN SOFT SILICONE SUNSCR,4,66
GRILINCTUS-L 100 ML SYP,1,134
FORGLYN INHALER,2,244
DAXID 25MG TAB,1,315
TAKFA OIN 10GM,1,281
LULIZOL LOTION,2,352
VICKS BABYRUB COM/FOR BABIES,19,69
VICKS BABYRUB COM/FOR BABIES 50ML,3,360
URINE POT (F),3,491
EVECARE FORTE TAB,4,317
I-WIN 100,1,117
ONECAN DUS.POW,1,377
WALAPHAGE G-1 TAB,1,93
SAVLON LIQ 500ML,3,447
NEUROKEM-NT TAB ,2,399
DYDROBOON TAB,18,362
SOFIDEW CALOE LOTION,2,369
D-ACNE PLUS GEL,1,71
VALBET CREAM 20 GM,1,196
GANEAR SAKURA MASK(PINK),2,256
KETOADD TAB,2,21
TELMA CT-40/12.5 TAB,15,262
GOOD KNIGHT FLASH COMBI PACK,10,401
GOOD KNIGHT FLASH REFIL,237,190
ZEROSTIFF TOTAL CP,1,47
BECOSULES CAP,12,176
GLIMDA-2 TAB,14,288
NUROTROY-SR TAB,2,54
ALEX P SYP,1,202
OLMETIME AM 40MG,2,334
A TO Z WOMEN CAP,1,155
ADILIP 45MG TAB,1,276
MACBERY LS SYP,1,480
NIOSALIC OINTMENT,1,340
DOXOLIN 200 TAB,3,72
ILEVRO EYE DROP,1,264
LIMSAF TAB,34,319
NUROKIND-Z MORE TABLET STRIP OF 10 TABLET,3,447
LACOSET INJ 20ML,1,323
OZOMET-G2 TABLET,5,284
ITRAGREAT-200MG TAB,1,366
SHY-OR 100ML,1,237
RAPITUS XT SYP 100ML,1,59
PHYTORAL BAR,1,417
VRIKSHAMLA CAP 60 CAP,1,240
WELLWOMAN HAIR FOLLIC CAP,9,42
UDILIV 450 MG TABLET,1,314
AUTRIN XT CAP,1,414
MEDICAINE GEL MINT,3,126
MORR RICH CREAM,1,401
SENSODENT-K PLUS PEAST,1,402
ZYTEE-L TUBE,2,350
DULOREN 30MG TAB,1,353
B-29 LC TAB,1,29
ENSURE DIABETESCARE VANILLA440GTIN,1,201
ENSURE DIABETESCARE CHO RIFF,1,91
MACTOTAL ORAL SUSPENSION,1,172
LUPIVESTIN 500 TAB,1,216
IBGLOW ULTRA CREAM,1,53
SA RAPID 0.5 TAB,1,14
HAEM UP 100 CUP,3,124
GOODOVA-L TAB,2,212
TURBOCORT CREAM 15GM,1,462
MACSART H TAB,1,316
LURAY CREAM 30GM,1,92
GEOMAX D3 CAP,1,68
VERTIFORD 16 MG,4,188
L-SYS CREAM 30GM,1,282
LIDOZONE EAR DEOPS 10 ML,1,54
FOLVITE ACTIVE TABLET,2,109
VERTIGEN TAB ,2,482
NEVLON CALOE LOTION,1,315
OLKEM TRIO 12.5,1,94
ESOGRESS-L CAP,1,395
PREGABA-NT TAB,3,409
GLIMESTAR-M3 TAB,4,413
CLEARGEL NICO 20G GEL,2,496
SOFTDROPS LIQUIGEL DROPS,1,244
TUSQ-LS SY,6,62
AJADUO 25MG/5MG TAB,3,102
AJADUO 10MG/5MG TAB,1,139
HYOCIMAX MF TAB,1,237
ALL OUT ULTRA POWER+ REFILL,7,343
OFM-DS SY,4,293
VISSCO HINGED KNEE CAP,2,149
ITCH GUARD PLUS CR (20G),7,22
I-VIT PRO CAPSULES,1,335
CLARIGARD-250 TABLET,1,118
BRILANTE INTENSE BRIGHTENING SERUM,1,455
MEDERMA ADVANCED PLUS GEL 5G,1,395
APRAIZE-10MG TAB,1,231
TELCAD-CD40,2,412
ROSUMAC GOLD 10/75/75 CAPSULE STRIP OF 10 CAPSULES,6,85
CORECTIA M TAB,2,382
KEVON-ZIP,1,365
POWERGESIC 100MG PATCH,1,406
TURBOVAS-ASP ,1,350
LIVOGEN CAP.    ,6,443
ACENAC-SP TAB,1,172
INDULEKHA OIL 50 ML,2,68
FUNGICROS CREAM 30GM,1,74
MONTEGRESS-FX TAB,2,447
DOLOKIND MR TAB,1,136
DS GLOW FACE WASH,1,396
ESTROPLUS TAB,1,447
TIMZID-MR TAB,8,276
NITROBEST TAB,1,205
AMRUTANJAN JOINT MUSCLE SPRAY,1,261
PRUVICT 1,3,190
CIPLADINE OINTMENT 25GM ,2,245
LAFORMIN G 1 TAB,8,140
NASOMIST-XP NASAL DROP,1,367
ZOLE F  LOTION,1,473
OLMEBLU- 40 TAB,2,460
NOVOMIX 50 PENFILL 100IU PACK OF 5 X 3ML CARTRIDGE,4,313
GA-12 CREAM,1,125
SOFTOLAX POW,1,158
ZN 20 DROP,1,51
SIMBRINZA EYE DROP,1,127
ERITEL B50 TAB,3,25
MOFLOREN-LP EYE DROPS,1,469
GLUCORYL-M1 FORTE,2,105
ZILARBI 40,1,142
SIMILAC 2 REFIL,4,47
ROZUCOR-GOLD10,2,157
EV-ACTIVE TAB,1,36
PANDERM SUPER CREAM,2,331
CORTEL-H40,2,114
ESPERAL TAB,1,116
OSSUM ROMANCE BODY SPRAY,3,443
OSSUM BLOSSOM BODY SPRAY,9,336
DILNIP TRIO TAB,3,360
AGROMYCIN 500MG TAB (AZITHROMYCIN),6,72
I-WIN 200,1,10
EGNERVE-OD CAP,1,235
ROZAGOLD 10 CAP,1,230
TURBOVAS-CV 10MG TAB,2,20
FASH-X GEL FACE WASH,1,74
RANTAC DOM TAB,15,169
SPENZO DEPOT 20MG INJ,3,320
MOXISURGE-D EYE DROPS,1,145
ROSUMAC F 5 TAB,1,392
TIBAN 20MG TAB,4,127
CARIPAYA TAB,2,25
ESOLYST D TAB,1,95
MINOLAST FX TAB,3,361
LUMERAX- 60TAB LUMEF*ART,1,186
OXIPOD CV 100 DRY SYP,1,115
CLOBA TAB.(10MG),3,78
SEBAMED BABY SHAMPOO 150ML,1,405
CLARIBID SUSPENSUN 30ML,3,338
LACTOMED SYP,3,81
CLINDAFIN-N GEL,1,62
TONACT EZ 20MG TAB,1,267
CADBURY 5STAR RS 5,12,221
VILDAPHAGE-M 50/500MG TAB,1,480
PARI CR PLUS TAB,2,46
OZYM-D TAB,2,355
RANTAC SYP (INFANT),1,19
LARENTINE D 5MG,1,199
TEL ISABGOL POWDER 200GM,2,17
TOVAXO-T EYE DROP,1,420
AGROSOL SYRUP,7,470
NURODAY-D3,3,25
DUBINOR TAB,1,483
FEXANTO ER 40 TAB,6,163
OLESOFT MAX LOTION,1,162
COLLACIUM D3 TAB,2,486
AZEE XL 200MG SYP,1,369
AFOGLIP-M 500,2,194
FERONIA MAX SUSP,1,494
BRINZOX T EYE DROPS,1,20
GEMCAL P SUSPENSION,1,105
ULTRA-Q 100,2,251
ACE-PROXYVON -TH 4 MG TAB,2,146
ZITCARE TAB ,1,170
WALYTE POW,2,244
MOOV CREAM 10GM,12,377
VISCODYNE LS DROP,1,479
OXIDOX SOFTGEL,2,438
DDR 30 MG ,2,267
SOLVIN OD TAB,1,80
DULOREN 20MG TAB,3,345
CROCIN PAIN RELIF,8,101
MUCINAC-AB TAB,4,292
RAZEL F 5,1,71
TORVIGRESS-10,1,361
ACTIS C2 TAB,1,370
GLYCOMET-GP 0.5 FORTE TAB,17,41
ZIVIFRESH EYE DROP,1,297
ARANCIA TAB ,1,337
P-120 SUSPENSION,1,193
TOILET CHAIR SS WALL MOUNT ,2,274
CETAPHIL GENTLE SKIN CLNR 500ML   ,1,55
CTD-C 6.25/10,8,290
PICLIN TAB,3,61
FOLITRAX 20 INJ,3,54
SULFORYL M1 TAB,3,20
AMNURITE 5,1,410
WHEEL CHAIR COM608 W/CUT,1,87
SINAREST NASAL SPRAY 10ML,1,29
GLYCOHALE F ROTACAP,1,361
TRESIBA PENFILL CART.3ML,4,100
OXRAMET XR10MG/1000MG TAB,7,339
GLOSPOR 100 MG,2,123
ORNIGREAT GEL 10MG,1,251
VIZYLAC RICH SACHETS,6,397
PRUVICT 2,1,316
ALOE VERA GEL*RANAKPUR,5,299
LAMETEC-25MG DT TAB,5,183
CYPON G SYRUP<200ML>,4,89
ENERZAL POW ORANGE *500GM <JAR>,2,66
AZIWOK XL 200 LIQUID,1,334
WARF 3MG TAB,3,247
ZORYL-0.5MG TAB,2,214
TRIVOLIB FORTE-1 MG,1,464
